startup,sector,subsector,city,investor,investmenttype,amountinusd,date,source,year,quarter,month
Unknown,Unknown,E-learning,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,App based shuttle service,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Retailer of baby and toddler products,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Investment,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Embroiled Clothes For Women,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,"Open-market, freight management platform",Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Food Delivery Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Agritech,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Automobile,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Satellite Communication,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Logistics Services and Solutions,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Food Solutions For Corporate,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Meat And Seafood Ordering Startup,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Non-Banking Financial Company,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Experience Discovery Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Real money based gaming startup,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Eyewear Shopping Portal,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Business and customer engagement tools,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Men's Health and Wellness brand,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Elearning,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Indian Burger Brand,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Healthcare services,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Agritech,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Financial Services To MSMEs,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Social gaming platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Recovery software,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Electric bike rental,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Virtual e-commerce platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,B2B platform for medical supplies,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Scooter sharing app,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Music Education,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Mobile Wallet,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Delivery Service,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Business development,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Beauty and Grooming,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Financial Services,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Invoice discounting platform and SME lending marketplace,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Digital marketing firm,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Education Technology,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Building automation system,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Deep-technology,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,"Consumer Electronics, Home Appliances",Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Wearable Fitness Bands,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Mobile-based Accounting Software,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Automotive,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Supply Chain Management,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Fuel Delivery,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,VC Funds,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Last-mile retail transaction technology,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Social Commerce,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Car Retail,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Conversational AI,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Road Safety Analytics,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Low carb food for Diabetics,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Digital Lending Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Wealth Management,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,B2B Foodtech,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,University Admissions,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Product Review,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Grocery Delivery,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Bike Taxi,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Auto Insurance,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Big Data,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Consulting,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Cabs,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Speech Recognition,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Digital Vending Machine,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Education,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Industrial Tools and Equipments,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Logistics,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Smartphone Operating System,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Primary care medical network,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Clothes and Apparel,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Full-stack career platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Real Estate,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Brewery,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Hospitality,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,FinTech,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,FinTech,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Optimization,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Artificial Intelligence,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Hybrid Reactor Biodigestor,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Renewable Energy,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,E-Books,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Video Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Financial Services,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Lending Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Dockless Scooter Rental Company,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Digital Documentation,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Cabs,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Optimization,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Fashion and Shopping,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Logistics,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Beauty and Wellness Industry,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Electric Vehicle,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Fresh Agriculture Produces,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Retail,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Brewery,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Wealth Management,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Medicine,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Waste Management,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Travel,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Organic wellness,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Banking,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,E-learning,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Fashion and Apparel,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,E-learning,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Mobile analytics and marketing,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Software Solutions,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Lending Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Bus Aggregation,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Supply-chain technology solutions,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Logistics,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Fashion & Apparel,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Anti-Pollution,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Budget Rooms,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Marketplace,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Specialty pharmaceutical,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Non-banking financial company,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Hyperlocal Content,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Home services marketplace,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Platform for travel agents,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,"Video-based certification, trainings",Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,eCommerce,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,eCommerce,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,"Real Estate, ERP",Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Regional Flavours,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,MSME Finance,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Social Commerce,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Mobile e-Sports,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Meat Retail Chain,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,POS For Online Ordering,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Micro-delivery grocery service,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,On-Demand Drivers,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Car Wash,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Robotics,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Wellness Coach,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Personalized Learning,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,SME Funding,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Art,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Digital Onboarding Solution,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,AI Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,SME Lending,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Video Sharing,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Mens Wear,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Supply Chain,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Wine,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,New and Used Cars Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Co-Working,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Largest Trucking Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Book Trucks Online,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Pharmacy Chain,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Logistics and Shipping,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,News and ebooks Mobile App\\xc2\\xa0,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Healthcare Service Provider,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Travel Agecy,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Computer Vision And Artificial Intelligence (Ai) Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Gaming Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Marketplace For Mother and Babycare Products,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,AI-Based Energy Optimisation and Control Provider,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Marketplace For Pharmaceutical Products,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Micro Lending Marketplace,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online lending Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Patient Financing Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Social Media and Chat Entertainment Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Home Rental Marketplace,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Assisted E-commerce Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Travel Aggregator,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Real-time Mobile App Management,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Bike Rental Marketplace,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,UPI Payments App,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,e-learning Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Consumer Financing Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Rural E-commerce Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,AI Based Solutions Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,AI Based Solutions Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Restaurant Table Reservation Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Loan Matchmaking Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Organic Juice Delivery Service,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Indian Car Rental Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Lending Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Local Language Health Content App,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Private Equity Firm,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,HR Virtual Agent For Employees,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Food Delivery,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,E-commerce Fulfilment Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Lending Platform For Salaried Professionals,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Insurance Selling Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Platform For Risk-Assessment Services For Real Estate Investments,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Platform That Sells Direct Plans Of Mutual Funds,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Platform That Connects Brands With Freelance Sales Professionals,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Med-tech Platform Providing Care For Newborns,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Lending Platform For Micro and Small Enterprises,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Mobile Storefront And Commerce Platform For Sellers,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Micro Lending Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Artificial intelligence-based sales acceleration software platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Home diagnostics services provider,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,A Doctor-Patient Engagement Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Lending Platform For SME,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Used Car Marketplace,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Subscription-Only News Website,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Ticketing Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Property Discovery Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Consumer Lending Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Bicycle-Sharing Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Media Analytics,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Nanotechnology Company Specializing In Graphene,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Skill Learning Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Insurance Startup,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Non-Banking Financial Company,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Mobile-First Video Blogging App,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Data Analytics Firm,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Software-As-A-Service Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Travel-Focused Tech Startup,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Unified Global Investments Ecosystem,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Bus Aggregation Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Health and fitness Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Non-Bank Lending Platform For SME,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Health and Well being Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Credit-Based Lending Marketplace For Small And Medium Enterprises,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Sales Analytics and Enablement Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,"Online Marketplace For Handicrafts, Handlooms And Local Produce",Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Crowdfunding Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Healthcare Aggregator,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Non-Banking Financial Company,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Marketplace For Resellers,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Lending Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Specialised diagnostics Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Supplychain Finance,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Fashion e-tailer,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Hyperlocal Delivery Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,An Online Platform That Connects Ayurveda Doctors With Patients,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Mass Market Mutual Fund Investment Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,"A Local Discovery App For Dining-Out, Party, Leisure and Events",Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Home Furnishing Solutions,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Cybersecurity Specialist,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Prosthetics Manufacturers,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Data Analytics (SaaS),Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Education Services Provider,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Rental Marketplace,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Trade Finance Firm,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Motorbike And Scooter Rental Platforms,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Insurance Selling Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Digital Payment Platform For Beverage Delivery,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,App-based investment platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Digital Payment Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Data Driven Intelligence Solutions Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,E-commerce Logistics Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,An AI Platform Offering Automated Customer Service Software,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Education Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,An Artificial Intelligence-Based Recruitment Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Lending Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Aggregator For Packaging Material,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,SaaS,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,P2P Lending Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,AI product company For Health and Life Insurane Companies,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Agri-tech,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Beauty e-tailer,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Doctor-Consultation App,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Video Creation Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Micro-Delivery Grocery Startup,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Micro Lending Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,P2P Lending Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Products For Shoolgoing Children,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Housing Finance For Low-Income Families,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Designer Of Toys and Learning Projects For Kids,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Oxygen Optimiser Manufacturer,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Insurance Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Home Healthcare Aggregator,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Insurance Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Mobile Payments Technology Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Events and Activities Discovery Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Iot Application Platform In Agriculture,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Lending Platform For SMEs,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Fitness Discovey Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Social Media Anlaytics Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Enhanced Employee Engagement Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Loan Matchmaking Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Loans and Services To Affordable Private Schools in India,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Online Education Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Interactive Online Tutoring Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Digital Financial Services Platform,Unknown,,Unknown,,,df1,2018,1,1
Unknown,Unknown,Fashion Accessories Etailer,Unknown,,Unknown,,,df1,2018,1,1
