startup,sector,subsector,city,investor,investmenttype,amountinusd,date
Hamilton PLC,FinTech,FinTech Services,Bengaluru,Investor_1,Series A,4942557.5,2018-02-22
Davila-Smith,FinTech,FinTech Services,Mumbai,Investor_41,Series C,333117.4,2012-11-08
Barnes-Bell,AgriTech,AgriTech Services,Pune,"Investor_41, Investor_49",Series A,497488.39,2006-04-23
Turner-Collier,Logistics,Logistics Services,Kolkata,"Investor_41, Investor_7, Investor_93",Series D+,8987777.19,2006-05-01
Villanueva-Boyd,SaaS,SaaS Services,Ahmedabad,"Investor_90, Investor_21",Seed,1706627.1,2012-09-22
Miller-Lutz,E-Commerce,E-Commerce Services,Ahmedabad,Investor_64,Series A,336050.95,2009-07-18
Mitchell PLC,CleanTech,CleanTech Services,Delhi,Investor_67,Series D+,673183.17,2003-02-28
Reynolds and Sons,FinTech,FinTech Services,Chennai,"Investor_29, Investor_94",Series D+,1576652.55,2006-09-10
Morton Inc,CleanTech,CleanTech Services,Chennai,"Investor_11, Investor_79, Investor_85",Series A,4130052.76,2015-03-08
Sparks-Ford,HealthTech,HealthTech Services,Gurgaon,"Investor_3, Investor_36",Seed,570453.75,2021-11-04
"Lewis, Wilson and Shaffer",EdTech,EdTech Services,Gurgaon,Investor_58,Series C,2750624.52,2013-02-14
Bradley-Nelson,FinTech,FinTech Services,Hyderabad,Investor_82,Pre-Seed,6164786.18,2018-04-12
Stewart Inc,HealthTech,HealthTech Services,Bengaluru,Investor_95,Series C,5655226.41,2013-02-24
Watson Group,E-Commerce,E-Commerce Services,Delhi,Investor_99,Seed,105213.86,2017-08-03
Burns-Cochran,FinTech,FinTech Services,Bengaluru,"Investor_74, Investor_84, Investor_91",Series A,6607516.07,2003-07-20
Waters Inc,EdTech,EdTech Services,Mumbai,"Investor_38, Investor_44, Investor_19",Series C,9372529.08,2012-03-15
Quinn-Garner,CleanTech,CleanTech Services,Ahmedabad,"Investor_82, Investor_36, Investor_45",Seed,1600558.96,2005-02-06
Bailey-Spears,FoodTech,FoodTech Services,Pune,"Investor_21, Investor_83",Series A,1162821.61,2004-03-20
"Meyer, Dodson and Bradley",AgriTech,AgriTech Services,Mumbai,Investor_44,Series B,4297418.36,2007-01-22
Madden-Jones,FoodTech,FoodTech Services,Noida,"Investor_67, Investor_92, Investor_62",Pre-Seed,15842753.74,2009-05-13
"Thompson, Bryan and Browning",SaaS,SaaS Services,Pune,"Investor_6, Investor_79",Seed,567954.27,2010-05-24
Golden-Fritz,FinTech,FinTech Services,Mumbai,Investor_71,Pre-Seed,1044143.01,2018-07-08
Martin-Stewart,Logistics,Logistics Services,Mumbai,Investor_44,Series C,506040.46,2019-02-18
"Gamble, Higgins and Chapman",FoodTech,FoodTech Services,Mumbai,"Investor_91, Investor_62",Series D+,3006169.3,2018-08-16
Fernandez LLC,Logistics,Logistics Services,Gurgaon,"Investor_41, Investor_59",Series B,871408.32,2008-02-18
Baker and Sons,AgriTech,AgriTech Services,Mumbai,"Investor_98, Investor_90",Series B,6205642.13,2005-07-19
Bowen Group,SaaS,SaaS Services,Mumbai,"Investor_35, Investor_88",Pre-Seed,3210505.31,2011-02-27
"Petty, Wilson and Terrell",AgriTech,AgriTech Services,Pune,"Investor_38, Investor_77",Seed,87474.81,2014-11-18
Boyd-Bolton,AI/ML,AI/ML Services,Chennai,"Investor_23, Investor_70",Series D+,5290627.83,2004-08-26
Richmond-Huff,SaaS,SaaS Services,Hyderabad,"Investor_37, Investor_14",Pre-Seed,4820481.0,2003-08-20
Murphy Inc,CleanTech,CleanTech Services,Bengaluru,Investor_37,Series C,793862.98,2011-06-18
"Waters, Good and Taylor",CleanTech,CleanTech Services,Bengaluru,"Investor_27, Investor_72, Investor_18",Series D+,6437888.04,2021-11-24
"Hodge, Cooper and Rodriguez",FinTech,FinTech Services,Kolkata,"Investor_26, Investor_9",Series D+,280446.96,2018-09-15
Shelton Group,HealthTech,HealthTech Services,Chennai,"Investor_33, Investor_91, Investor_73",Series C,727405.81,2011-06-01
Schmitt Group,EdTech,EdTech Services,Pune,"Investor_28, Investor_4, Investor_80",Pre-Seed,533469.25,2021-10-01
Reynolds LLC,AgriTech,AgriTech Services,Ahmedabad,Investor_64,Series C,8091325.54,2004-10-25
Gonzalez-Smith,EdTech,EdTech Services,Pune,"Investor_93, Investor_48, Investor_14",Series D+,1215354.79,2007-06-04
Flores Ltd,FoodTech,FoodTech Services,Noida,Investor_47,Series A,14860715.2,2009-03-14
Jones-Thompson,CleanTech,CleanTech Services,Pune,"Investor_37, Investor_9",Series D+,863513.87,2017-07-10
Bryant-Reed,EdTech,EdTech Services,Chennai,"Investor_100, Investor_70",Series C,23469020.85,2021-04-25
Archer-Acevedo,EdTech,EdTech Services,Noida,Investor_5,Series B,178376.81,2008-02-28
Arnold-Miller,FinTech,FinTech Services,Chennai,Investor_23,Series B,6321127.87,2012-08-19
"Christensen, Burnett and Jones",SaaS,SaaS Services,Delhi,"Investor_95, Investor_63",Series D+,463369.9,2003-05-12
"Joseph, Lee and Fisher",EdTech,EdTech Services,Gurgaon,"Investor_34, Investor_74",Series D+,2901773.57,2017-04-22
Rivera Ltd,EdTech,EdTech Services,Mumbai,"Investor_48, Investor_14",Pre-Seed,578019.72,2013-12-11
Garcia Inc,HealthTech,HealthTech Services,Mumbai,"Investor_32, Investor_51",Series C,518130.36,2013-05-07
Wilson and Sons,Logistics,Logistics Services,Pune,"Investor_36, Investor_72, Investor_34",Series D+,2354504.31,2019-08-14
Mccarthy-Burke,Logistics,Logistics Services,Gurgaon,"Investor_16, Investor_22, Investor_58",Pre-Seed,4800539.25,2015-01-24
Gibson-Duffy,AI/ML,AI/ML Services,Ahmedabad,"Investor_11, Investor_52, Investor_65",Series A,3814074.6,2022-12-05
Harris-Pollard,AgriTech,AgriTech Services,Kolkata,"Investor_37, Investor_98, Investor_83",Series D+,18358894.68,2022-05-24
Anderson LLC,HealthTech,HealthTech Services,Gurgaon,"Investor_61, Investor_5",Series A,672674.13,2015-01-06
"Johnson, Reynolds and Thompson",CleanTech,CleanTech Services,Noida,Investor_87,Series D+,1304937.59,2012-03-22
Hamilton-Carter,EdTech,EdTech Services,Pune,Investor_49,Series B,5594774.8,2007-04-17
"Nunez, Foster and Fisher",EdTech,EdTech Services,Chennai,"Investor_13, Investor_29",Series B,1441478.64,2018-11-25
Neal LLC,EdTech,EdTech Services,Noida,"Investor_32, Investor_31, Investor_99",Pre-Seed,6005870.96,2020-03-06
"Holder, Anderson and Walls",E-Commerce,E-Commerce Services,Delhi,"Investor_78, Investor_48",Series A,305038.85,2013-10-23
Mcmahon-Cooper,FoodTech,FoodTech Services,Chennai,Investor_30,Series B,8543.65,2011-05-22
Patel-English,CleanTech,CleanTech Services,Delhi,"Investor_84, Investor_35, Investor_33",Series A,735159.79,2019-01-04
"Wagner, Blankenship and Kim",E-Commerce,E-Commerce Services,Hyderabad,Investor_26,Seed,1534264.79,2005-12-07
Andersen-Buchanan,Logistics,Logistics Services,Chennai,"Investor_64, Investor_44",Series A,10126243.93,2004-02-08
Sullivan-Shaffer,FinTech,FinTech Services,Mumbai,"Investor_13, Investor_39, Investor_94",Series C,6323130.57,2007-02-15
Perez-Howard,CleanTech,CleanTech Services,Mumbai,"Investor_55, Investor_18, Investor_97",Series C,1878157.54,2015-02-03
Martinez-Hoover,CleanTech,CleanTech Services,Mumbai,"Investor_69, Investor_5",Pre-Seed,7235840.61,2016-04-11
"Cruz, Harris and Rodriguez",E-Commerce,E-Commerce Services,Mumbai,"Investor_88, Investor_84, Investor_40",Seed,2828212.58,2016-11-09
Ramirez LLC,HealthTech,HealthTech Services,Pune,"Investor_94, Investor_78",Series A,64971.66,2011-07-17
Martinez LLC,AgriTech,AgriTech Services,Bengaluru,"Investor_44, Investor_84",Pre-Seed,1761900.72,2003-11-20
Decker-Flores,FoodTech,FoodTech Services,Kolkata,"Investor_84, Investor_88, Investor_76",Series A,8787783.01,2006-06-08
"Jackson, Chase and Perez",AgriTech,AgriTech Services,Gurgaon,Investor_45,Series B,773655.06,2020-03-17
Holland-Hopkins,EdTech,EdTech Services,Ahmedabad,Investor_3,Series D+,439182.54,2003-12-17
